Danwin Danwin 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DeWind D4 48/600;0.0;;0.0;;;;0.234;;;;;;;;;0.31;;;;;;;;;0.375;;;;;;;;;;0.388;;;;;;;;0.416;;;;;;;;;;0.43;;;;;;;;;;0.438;;;;;;;;;;;0.441;;;;;;;;;0.4;;;;;;;;;;0.313;;;;;;;0.246;;;;;;;;;0.197;;;;;;;;0.16;;;;;;;;;;0.132;;;;;;;;;0.11;;;;;;;;0.093;;;;;;;;;;0.079;;;;;;;;;;;;;;;;;;;;;;
Dongfang G2000-116 / FD116-2000 geared;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecotècnia ECO 12/30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ecotècnia ECO 48/750;;;;;;;;;;;;;;;;;;;;;0.06;;;;0.19;;;;;;;0.28;;;0.34;;;;0.38;;;;0.41;;;;;0.43;;;;;0.44;;;;;0.44;;;;;0.44;;;;;;0.42;;;;;0.41;;;;0.4;;;;;0.39;;;;;0.37;;;;;0.36;;;;0.34;;;0.31;;;;;0.28;;;;0.25;;;;0.22;;;;0.2;;;;;0.19;;;;;0.17;;;0.16;;;;;;0.14;;;;0.13;;;;0.12;;;;0.12;;;;;;0.11;;0.1;;0.09;;;;;;;;;;;;;;;;;;
Enercon E-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enercon E-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enercon E-18;0.0;;0.0;;;;0.285;;;;;;;;;0.371;;;;;;;;;0.416;;;;;;;;;;0.428;;;;;;;;0.44;;;;;;;;;;0.437;;;;;;;;;;0.399;;;;;;;;;;;0.363;;;;;;;;;0.325;;;;;;;;;;0.285;;;;;;;0.234;;;;;;;;;0.187;;;;;;;;0.152;;;;;;;;;;0.125;;;;;;;;;0.104;;;;;;;;0.088;;;;;;;;;;0.075;;;;0.064;;;;;0.055;;0.048;;0.042;;0.037;;0.033;;;;;
Enercon E-30 ;0.0;;0.0;;;;0.317;;;;;;;;;0.361;;;;;;;;;0.399;;;;;;;;;;0.41;;;;;;;;0.42;;;;;;;;;;0.42;;;;;;;;;;0.42;;;;;;;;;;;0.419;;;;;;;;;0.4;;;;;;;;;;0.36;;;;;;;0.305;;;;;;;;;0.253;;;;;;;;0.205;;;;;;;;;;0.169;;;;;;;;;0.141;;;;;;;;0.119;;;;;;;;;;0.101;;;;0.087;;;;;0.075;;0.065;;0.057;;0.05;;0.044;;;;;
Enercon E-33 / 300;0.0;;0.0;;;;0.353;;;;;;;;;0.328;;;;;;;;;0.336;;;;;;;;;;0.353;;;;;;;;0.395;;;;;;;;;;0.447;;;;;;;;;;0.44;;;;;;;;;;;0.435;;;;;;;;;0.399;;;;;;;;;;0.331;;;;;;;0.261;;;;;;;;;0.209;;;;;;;;0.17;;;;;;;;;;0.14;;;;;;;;;0.117;;;;;;;;0.098;;;;;;;;;;0.083;;;;0.072;;;;;0.062;;0.054;;0.047;;0.041;;0.037;;;;;
Enercon E-40/5.40;;;;0.1;;;0.21;;;;;0.32;;;;0.38;;;;;0.41;;;;0.41;;;;;;;0.41;;;0.41;;;;0.41;;;;0.42;;;;;0.41;;;;;0.41;;;;;0.41;;;;;0.42;;;;;;0.42;;;;;0.42;;;;0.4;;;;;0.39;;;;;0.37;;;;;0.35;;;;0.32;;;0.29;;;;;;;;;0.23;;;;;;;;0.19;;;;;;;;;;0.16;;;;;;;;;0.13;;;;;;;;0.11;;;;;;;;;;0.09;;;;0.08;;;;;0.07;;0.06;;0.05;;0.05;;0.04;;;;;
Enercon E-40/6.44;;;;;;;0.07;;;;;0.17;;;;0.25;;;;;0.32;;;;0.36;;;;;;;0.38;;;0.4;;;;0.41;;;;0.43;;;;;0.44;;;;;0.44;;;;;0.44;;;;;0.44;;;;;;0.45;;;;;0.44;;;;0.43;;;;;0.41;;;;;0.38;;;;;0.36;;;;0.34;;;0.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enercon E-44;0.0;;0.0;;;;0.16;;;;;;;;;0.34;;;;;;;;;0.43;;;;;;;;;;0.48;;;;;;;;0.49;;;;;;;;;;0.5;;;;;;;;;;0.5;;;;;;;;;;;0.5;;;;;;;;;0.48;;;;;;;;;;0.44;;;;;;;0.39;;;;;;;;;0.33;;;;;;;;0.28;;;;;;;;;;0.24;;;;;;;;;0.2;;;;;;;;0.17;;;;;;;;;;0.14;;;;0.12;;;;;0.11;;0.09;;0.08;;0.07;;0.06;;;;;
Enercon E-48;0.0;;0.0;;;;0.17;;;;;;;;;0.35;;;;;;;;;0.43;;;;;;;;;;0.46;;;;;;;;0.47;;;;;;;;;;0.48;;;;;;;;;;0.5;;;;;;;;;;;0.5;;;;;;;;;0.45;;;;;;;;;;0.39;;;;;;;0.32;;;;;;;;;0.27;;;;;;;;0.22;;;;;;;;;;0.18;;;;;;;;;0.15;;;;;;;;0.13;;;;;;;;;;0.11;;;;0.09;;;;;0.08;;0.07;;0.06;;0.05;;0.05;;;;;
Enercon E-53;0.0;;0.19;;;;0.39;;;;;;;;;0.44;;;;;;;;;0.46;;;;;;;;;;0.48;;;;;;;;0.49;;;;;;;;;;0.49;;;;;;;;;;0.49;;;;;;;;;;;0.48;;;;;;;;;0.42;;;;;;;;;;0.34;;;;;;;0.27;;;;;;;;;0.22;;;;;;;;0.18;;;;;;;;;;0.15;;;;;;;;;0.12;;;;;;;;0.1;;;;;;;;;;0.09;;;;0.08;;;;;0.06;;0.06;;0.05;;0.04;;0.04;;;;;
Enercon E-58/10.58;0.0;0.0;0.0;;0.022;;0.06;;;;;;0.197;;0.253;;;;;;0.339;;;;;0.372;;;;;0.388;;0.405;;;;;;0.411;;;;;0.418;;0.425;;;;;;;;;0.439;;;;0.435;;;;;;0.435;;0.428;;;;;;;;0.419;;;;0.421;0.401;;;;;;0.377;;;;;;0.341;;;0.318;;;;0.282;;;0.253;;;;;0.227;;;;0.207;;;0.185;;;;;;;0.166;;;0.154;;;;;0.138;;;;;;0.127;;;0.116;;;;;0.106;;;;;;;0.094;;;;;;;;0.077;;;;;0.067;;0.058;;0.051;;0.045;;0.04;;;;;
Enercon E-66/15.66;0.0;0.0;0.0;0.0;;;0.032;;;;;;0.129;;;;0.223;;;;;0.279;;;;;0.337;;;;0.36;;;;0.383;;;;;;0.4;;;0.41;;;0.417;;;;;0.416;;;;;0.419;;;;;;;0.426;;;;;0.426;;;;0.42;;;;0.414;;;;;0.403;;;;;0.392;;;;;0.37;;;0.35;;;;0.32;;;;0.291;;;;;0.266;;;;0.241;;;;;;0.217;;;;;0.197;;;0.18;0.18;;;0.164;;;;;;;;;0.138;;;;0.126;;;0.117;;;;;;;0.107;;0.1;;;0.089;;;;;0.077;;0.067;;0.059;;0.052;;0.046;;;;;
Enercon E-66/18.70;0.0;0.0;0.0;0.104;;;;0.239;;;0.309;;;;;0.343;;;;;;0.375;;;0.396;;;;;;;0.412;;0.412;;;;;;0.42;;0.423;;;;;;0.427;;0.429;;;;;;;0.435;;;;0.425;;;;;;;0.427;;;;;;;0.419;;0.418;;;;0.409;;;;;;;;;0.397;;;0.38;;;0.36;;0.335;;;;;;0.306;;;;;;0.28;;;;;0.234;;;;;;0.213;;;;0.195;;;;;0.176;;;;0.164;;;;;;;0.147;;;;0.134;;0.125;;;;;0.117;;;;;;0.095;;;;;0.082;;0.072;;0.063;;0.055;;0.049;;;;;
Enercon E-70 E4 2.300;0.0;;0.1;;;;0.27;;;;;;;;;0.36;;;;;;;;;0.42;;;;;;;;;;0.46;;;;;;;;0.48;;;;;;;;;;0.5;;;;;;;;;;0.5;;;;;;;;;;;0.5;;;;;;;;;0.49;;;;;;;;;;0.45;;;;;;;0.39;;;;;;;;;0.34;;;;;;;;0.28;;;;;;;;;;0.23;;;;;;;;;0.19;;;;;;;;0.16;;;;;;;;;;0.14;;;;0.12;;;;;0.1;;0.09;;0.08;;0.07;;0.06;;;;;
Enercon E-82 E2 2.300;0.0;;0.12;;;;0.29;;;;;;;;;0.4;;;;;;;;;0.43;;;;;;;;;;0.46;;;;;;;;0.48;;;;;;;;;;0.49;;;;;;;;;;0.5;;;;;;;;;;;0.49;;;;;;;;;0.44;;;;;;;;;;0.38;;;;;;;0.32;;;;;;;;;0.26;;;;;;;;0.22;;;;;;;;;;0.18;;;;;;;;;0.15;;;;;;;;0.12;;;;;;;;;;0.11;;;;0.09;;;;;0.08;;0.07;;0.06;;0.05;;0.05;;;;;
Enercon E-82 E2 2.000;0.0;;0.12;;;;0.29;;;;;;;;;0.4;;;;;;;;;0.43;;;;;;;;;;0.46;;;;;;;;0.48;;;;;;;;;;0.49;;;;;;;;;;0.5;;;;;;;;;;;0.49;;;;;;;;;0.42;;;;;;;;;;0.35;;;;;;;0.29;;;;;;;;;0.23;;;;;;;;0.19;;;;;;;;;;0.15;;;;;;;;;0.13;;;;;;;;0.11;;;;;;;;;;0.09;;;;0.08;;;;;0.07;;0.06;;0.05;;0.05;;0.04;;;;;
Enercon E-82 E4 2.350;0.0;;0.12;;;;0.29;;;;;;;;;0.4;;;;;;;;;0.43;;;;;;;;;;0.46;;;;;;;;0.48;;;;;;;;;;0.49;;;;;;;;;;0.5;;;;;;;;;;;0.49;;;;;;;;;0.44;;;;;;;;;;0.38;;;;;;;0.32;;;;;;;;;0.26;;;;;;;;0.22;;;;;;;;;;0.18;;;;;;;;;0.15;;;;;;;;0.12;;;;;;;;;;0.11;;;;0.09;;;;;0.08;;0.07;;0.06;;0.05;;0.05;;;;;
Enercon E-82 E4 3.000 ;0.0;;0.0;;;;0.286;;;;;;;;;0.396;;;;;;;;;0.43;;;;;;;;;;0.459;;;;;;;;0.473;;;;;;;;;;0.483;;;;;;;;;;0.481;;;;;;;;;;;0.467;;;;;;;;;0.437;;;;;;;;;;0.394;;;;;;;0.352;;;;;;;;;0.312;;;;;;;;0.267;;;;;;;;;;0.226;;;;;;;;;0.19;;;;;;;;0.16;;;;;;;;;;0.136;;;;0.117;;;;;0.101;;0.088;;0.077;;0.068;;0.06;;;;;
Enercon E-92;0.0;;0.11;;;;0.27;;;;;;;;;0.38;;;;;;;;;0.41;;;;;;;;;;0.44;;;;;;;;0.46;;;;;;;;;;0.47;;;;;;;;;;0.47;;;;;;;;;;;0.45;;;;;;;;;0.39;;;;;;;;;;0.32;;;;;;;0.26;;;;;;;;;0.21;;;;;;;;0.17;;;;;;;;;;0.14;;;;;;;;;0.12;;;;;;;;0.1;;;;;;;;;;0.08;;;;0.07;;;;;0.06;;0.05;;0.05;;0.04;;0.04;;;;;
Enercon E-101;0.0;;0.076;;;;0.279;;;;;;;;;0.376;;;;;;;;;0.421;;;;;;;;;;0.452;;;;;;;;0.469;;;;;;;;;;0.478;;;;;;;;;;0.478;;;;;;;;;;;0.477;;;;;;;;;0.439;;;;;;;;;;0.358;;;;;;;0.283;;;;;;;;;0.227;;;;;;;;0.184;;;;;;;;;;0.152;;;;;;;;;0.127;;;;;;;;0.107;;;;;;;;;;0.091;;;;0.078;;;;;0.067;;0.058;;0.051;;0.045;;0.04;;;;;
Enercon E-101 E2 3.050;0.0;;0.08;;;;0.28;;;;;;;;;0.37;;;;;;;;;0.41;;;;;;;;;;0.44;;;;;;;;0.46;;;;;;;;;;0.47;;;;;;;;;;0.47;;;;;;;;;;;0.46;;;;;;;;;0.43;;;;;;;;;;0.38;;;;;;;0.32;;;;;;;;;0.26;;;;;;;;0.21;;;;;;;;;;0.17;;;;;;;;;0.15;;;;;;;;0.12;;;;;;;;;;0.1;;;;0.09;;;;;0.08;;0.07;;0.06;;0.05;;0.05;;;;;
Enercon E-101 E2 3.500;0.0;;0.076;;;;0.279;;;;;;;;;0.369;;;;;;;;;0.412;;;;;;;;;;0.442;;;;;;;;0.46;;;;;;;;;;0.468;;;;;;;;;;0.47;;;;;;;;;;;0.465;;;;;;;;;0.43;;;;;;;;;;0.377;;;;;;;0.315;;;;;;;;;0.257;;;;;;;;0.211;;;;;;;;;;0.174;;;;;;;;;0.145;;;;;;;;0.122;;;;;;;;;;0.104;;;;0.089;;;;;0.077;;0.067;;0.059;;0.052;;0.046;;;;;
Enercon E-112/45.114;0.0;;0.0;;;;0.23;;;;;;;;;0.34;;;;;;;;;0.39;;;;;;;;;;0.42;;;;;;;;0.44;;;;;;;;;;0.44;;;;;;;;;;0.44;;;;;;;;;;;0.44;;;;;;;;;0.43;;;;;;;;;;0.39;;;;;;;0.32;;;;;;;;;0.26;;;;;;;;0.21;;;;;;;;;;0.18;;;;;;;;;0.15;;;;;;;;0.12;;;;;;;;;;0.11;;;;0.09;;;;;0.08;;0.07;;0.06;;0.05;;0.05;;;;;
Enercon E-115 2.500;;;0.06;;;;0.28;;;;;;;;;0.38;;;;;;;;;0.42;;;;;;;;;;0.45;;;;;;;;0.47;;;;;;;;;;0.47;;;;;;;;;;0.44;;;;;;;;;;;0.37;;;;;;;;;0.29;;;;;;;;;;0.23;;;;;;;0.18;;;;;;;;;0.14;;;;;;;;0.12;;;;;;;;;;0.1;;;;;;;;;0.08;;;;;;;;0.07;;;;;;;;;;0.06;;;;0.05;;;;;0.04;;0.04;;0.03;;0.03;;0.03;;;;;
Enercon E-115 EP3 3.000 prototype;0.0;;0.058;;;;0.279;;;;;;;;;0.376;;;;;;;;;0.421;;;;;;;;;;0.451;;;;;;;;0.453;;;;;;;;;;0.455;;;;;;;;;;0.445;;;;;;;;;;;0.407;;;;;;;;;0.345;;;;;;;;;;0.279;;;;;;;0.225;;;;;;;;;0.181;;;;;;;;0.147;;;;;;;;;;0.121;;;;;;;;;0.101;;;;;;;;0.085;;;;;;;;;;0.072;;;;0.062;;;;;0.054;;0.047;;0.041;;0.036;;0.032;;;;;
Enercon E-115 3.000;;;0.06;;;;0.28;;;;;;;;;0.38;;;;;;;;;0.42;;;;;;;;;;0.45;;;;;;;;0.47;;;;;;;;;;0.47;;;;;;;;;;0.45;;;;;;;;;;;0.4;;;;;;;;;0.34;;;;;;;;;;0.27;;;;;;;0.21;;;;;;;;;0.17;;;;;;;;0.14;;;;;;;;;;0.11;;;;;;;;;0.1;;;;;;;;0.08;;;;;;;;;;0.07;;;;0.06;;;;;0.05;;0.04;;0.04;;0.03;;0.03;;;;;
Enercon E-126 EP4;0.0;;0.0;;;;0.28;;;;;;;;;0.37;;;;;;;;;0.41;;;;;;;;;;0.45;;;;;;;;0.45;;;;;;;;;;0.45;;;;;;;;;;0.43;;;;;;;;;;;0.4;;;;;;;;;0.35;;;;;;;;;;0.3;;;;;;;0.24;;;;;;;;;0.2;;;;;;;;0.16;;;;;;;;;;0.13;;;;;;;;;0.11;;;;;;;;0.09;;;;;;;;;;0.08;;;;0.07;;;;;0.06;;0.05;;0.04;;0.04;;0.04;;;;;
Enercon E-126 7.58 EP8;0.0;;0.0;;;;0.19;;;;;;;;;0.35;;;;;;;;;0.42;;;;;;;;;;0.45;;;;;;;;0.47;;;;;;;;;;0.48;;;;;;;;;;0.48;;;;;;;;;;;0.48;;;;;;;;;0.47;;;;;;;;;;0.43;;;;;;;0.38;;;;;;;;;0.33;;;;;;;;0.28;;;;;;;;;;0.24;;;;;;;;;0.2;;;;;;;;0.17;;;;;;;;;;0.14;;;;0.12;;;;;0.11;;0.09;;0.08;;0.07;;0.06;;;;;
Enercon E-141 EP4;0.0;;0.29;;;;0.4;;;;;;;;;0.42;;;;;;;;;0.44;;;;;;;;;;0.45;;;;;;;;0.45;;;;;;;;;;0.44;;;;;;;;;;0.41;;;;;;;;;;;0.36;;;;;;;;;0.31;;;;;;;;;;0.25;;;;;;;0.2;;;;;;;;;0.16;;;;;;;;0.13;;;;;;;;;;0.11;;;;;;;;;0.09;;;;;;;;0.08;;;;;;;;;;0.06;;;;0.05;;;;;0.05;;0.04;;0.04;;0.03;;0.03;;;;;
Enercon E-175 EP5;0.0;0.0;0.0;0.24;;;0.37;;;;;0.43;;;;0.47;;;;;0.48;;;;0.48;;;;;;;0.47;;;0.46;;;;0.43;;;;0.4;;;;;0.37;;;;;0.34;;;;;0.31;;;;;0.28;;;;;;0.26;;;;;0.23;;;;0.21;;;;;0.19;;;;;0.17;;;;;0.15;;;;0.14;;;0.12;;;;;0.11;;;;0.1;;;;0.09;;;;0.08;;;;;0.07;;;;;0.07;;;0.06;;;;;;0.06;;;;0.05;;;;0.05;;;;0.04;;;;;;0.04;;0.04;;0.03;;;0.03;;0.03;0.03;0.02;0.02;0.02;0.02;0.01;0.01;0.01;;;;;
eno energy eno 100;;;;;;;0.29;;;;;;;;;0.41;;;;;;;;;0.43;;;;;;;;;;0.44;;;;;;;;0.45;;;;;;;;;;0.44;;;;;;;;;;0.43;;;;;;;;;;;0.39;;;;;;;;;0.33;;;;;;;;;;0.26;;;;;;;0.21;;;;;;;;;0.17;;;;;;;;0.13;;;;;;;;;;0.11;;;;;;;;;0.09;;;;;;;;0.08;;;;;;;;;;0.07;;;;0.06;;;;;0.05;;0.04;;0.04;;0.03;;0.03;;;;;
eno energy eno 114 3.5;;;;;;;0.14;;;;;;;;;;;;;0.38;;;;;;;;;0.43;;;;;;;;0.43;;;;;;0.42;;;;;;;;;;;;;0.43;;;;0.42;;;;;;;;;;;;;;;;0.4;;;;;;;;;0.38;;;;;;;;0.32;;;;;;;0.25;;;;;;;;;0.2;;;;;;;;0.16;;;;;;;;;;0.14;;;;;;;;;0.11;;;;;;;;0.09;;;;;;;;;;0.08;;;;0.07;;;;;0.06;;0.05;;0.05;;0.04;;0.04;;;;;
eno energy eno 126 3.5;;;;;;;0.16;;;;;;;;;0.42;;;;;;;;;0.44;;;;;;;;;;0.44;;;;;;;;0.45;;;;;;;;;;0.45;;;;;;;;;;0.42;;;;;;;;;;;0.39;;;;;;;;;0.33;;;;;;;;;;0.27;;;;;;;0.21;;;;;;;;;0.17;;;;;;;;0.14;;;;;;;;;;0.11;;;;;;;;;0.09;;;;;;;;0.08;;;;;;;;;;0.07;;;;0.06;;;;;0.05;;0.04;;0.04;;0.03;;0.03;;;;;
Enron 900s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FREEN 20 kW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuhrländer FL MD 77;;;;;;;;;;;;;;;;0.3;;;;;;;;;0.4;;;;;;;;;;0.44;;;;;;;;0.46;;;;;;;;;;0.46;;;;;;;;;;0.44;;;;;;;;;;;0.4;;;;;;;;;0.36;;;;;;;;;;0.3;;;;;;;0.24;;;;;;;;;0.19;;;;;;;;0.16;;;;;;;;;;0.13;;;;;;;;;0.11;;;;;;;;0.09;;;;;;;;;;0.08;;;;0.07;;;;;0.06;;0.05;;0.04;;0.04;;0.03;;;;;
Fuhrländer FL 2500/90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuhrländer FL 2500/100;;;;;;;;;;;;0.15;;;;0.26;;;;;;;;;0.41;;;;;;;;;;0.44;;;;;;;;0.45;;;;;;;;;;0.46;;;;;;;;;;0.47;;;;;;;;;;;0.45;;;;;;;;;0.39;;;;;;;;;;0.3;;;;;;;0.24;;;;;;;;;0.19;;;;;;;;0.16;;;;;;;;;;0.13;;;;;;;;;0.11;;;;;;;;0.09;;;;;;;;;;0.08;;;;0.07;;;;;0.06;;0.05;;0.04;;0.04;;0.03;;;;;
Fuhrländer FL 2500/104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuhrländer LLC WTU2.0-93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuhrländer LLC WTU2.0-100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuhrländer LLC WTU3.0-120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuhrländer LLC WTU3.5-120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuhrländer LLC WTU4.5-151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FWT 93/2000;;;;;;;;;;;;0.25;;;;0.33;;;;;;;;;0.41;;;;;;;;;;0.45;;;;;;;;0.47;;;;;;;;;;0.48;;;;;;;;;;0.47;;;;;;;;;;;0.41;;;;;;;;;0.35;;;;;;;;;;0.28;;;;;;;0.22;;;;;;;;;0.18;;;;;;;;0.15;;;;;;;;;;0.12;;;;;;;;;0.1;;;;;;;;0.08;;;;;;;;;;0.07;;;;0.06;;;;;0.05;;0.05;;0.04;;0.04;;0.03;;;;;
FWT 100/2000;;;;;;;;;;;;0.17;;;;0.28;;;;;;;;;0.38;;;;;;;;;;0.42;;;;;;;;0.43;;;;;;;;;;0.44;;;;;;;;;;0.43;;;;;;;;;;;0.39;;;;;;;;;0.32;;;;;;;;;;0.25;;;;;;;0.2;;;;;;;;;0.16;;;;;;;;0.13;;;;;;;;;;0.11;;;;;;;;;0.09;;;;;;;;0.07;;;;;;;;;;0.06;;;;0.05;;;;;0.05;;0.04;;0.04;;0.03;;0.03;;;;;
FWT 100/2500;;;;;;;;;;;;0.15;;;;0.26;;;;;;;;;0.41;;;;;;;;;;0.44;;;;;;;;0.45;;;;;;;;;;0.46;;;;;;;;;;0.47;;;;;;;;;;;0.45;;;;;;;;;0.39;;;;;;;;;;0.3;;;;;;;0.24;;;;;;;;;0.19;;;;;;;;0.16;;;;;;;;;;0.13;;;;;;;;;0.11;;;;;;;;0.09;;;;;;;;;;0.08;;;;0.07;;;;;0.06;;0.05;;0.04;;0.04;;0.03;;;;;
FWT 104/2500;;;;;;;;;;;;0.14;;;;0.26;;;;;;;;;0.37;;;;;;;;;;0.43;;;;;;;;0.43;;;;;;;;;;0.44;;;;;;;;;;0.43;;;;;;;;;;;0.41;;;;;;;;;0.36;;;;;;;;;;0.29;;;;;;;0.22;;;;;;;;;0.18;;;;;;;;0.15;;;;;;;;;;0.12;;;;;;;;;0.1;;;;;;;;0.09;;;;;;;;;;0.07;;;;0.06;;;;;0.05;;0.05;;0.04;;0.04;;0.03;;;;;
FWT 120/3000;;;;;;;;;;;;0.35;;;;0.39;;;;;;;;;0.42;;;;;;;;;;0.44;;;;;;;;0.44;;;;;;;;;;0.45;;;;;;;;;;0.44;;;;;;;;;;;0.39;;;;;;;;;0.32;;;;;;;;;;0.25;;;;;;;0.2;;;;;;;;;0.16;;;;;;;;0.13;;;;;;;;;;0.1;;;;;;;;;0.09;;;;;;;;0.07;;;;;;;;;;0.06;;;;0.05;;;;;0.05;;0.04;;0.04;;0.03;;0.03;;;;;
Gamesa G52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gamesa G58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gamesa G80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
