Turbine;Rotordurchmesser;Nabenhöhe;Einschaltgeschwindigkeit;Nennwindgeschwindigkeit;Abschaltgeschwindigkeit
Leitwind LTW80 1800;80.3;80.0;3.0;13.0;25.0
Leitwind LTW86 1000;86.3;80.0;3.0;11.0;25.0
Leitwind LTW86 1000;86.3;90.0;3.0;11.0;25.0
Leitwind LTW86 1000;86.3;97.5;3.0;11.0;25.0
Leitwind LTW86 1000;86.3;100.0;3.0;11.0;25.0
Leitwind LTW86 1500;86.3;80.0;3.0;13.0;20.0
Leitwind LTW86 1500;86.3;90.0;3.0;13.0;20.0
Leitwind LTW86 1500;86.3;97.5;3.0;13.0;20.0
Leitwind LTW86 1500;86.3;100.0;3.0;13.0;20.0
Leitwind LTW90 500;90.0;60.0;3.0;8.0;25.0
Leitwind LTW90 500;90.0;65.0;3.0;8.0;25.0
Leitwind LTW90 500;90.0;80.0;3.0;8.0;25.0
Leitwind LTW90 900;90.0;60.0;3.0;9.0;25.0
Leitwind LTW90 900;90.0;65.0;3.0;9.0;25.0
Leitwind LTW90 900;90.0;80.0;3.0;9.0;25.0
Leitwind LTW90 900;90.0;97.5;3.0;9.0;25.0
Leitwind LTW90 950;90.3;65.0;3.0;9.0;25.0
Leitwind LTW90 950;90.3;80.0;3.0;9.0;25.0
Leitwind LTW90 950;90.3;90.0;3.0;9.0;25.0
Leitwind LTW90 950;90.3;97.5;3.0;9.0;25.0
Leitwind LTW90 950;90.3;105.0;3.0;9.0;25.0
Leitwind LTW90 1000;90.3;65.0;3.0;9.0;25.0
Leitwind LTW90 1000;90.3;80.0;3.0;9.0;25.0
Leitwind LTW90 1000;90.3;90.0;3.0;9.0;25.0
Leitwind LTW90 1000;90.3;97.5;3.0;9.0;25.0
Leitwind LTW90 1000;90.3;105.0;3.0;9.0;25.0
Leitwind LTW90 1500;90.3;65.0;3.0;11.0;25.0
Leitwind LTW90 1500;90.3;80.0;3.0;11.0;25.0
Leitwind LTW90 1500;90.3;97.5;3.0;11.0;25.0
Leitwind LTW90 2000;90.3;65.0;3.0;13.0;25.0
Leitwind LTW90 2000;90.3;80.0;3.0;13.0;25.0
Leitwind LTW90 2000;90.3;97.5;3.0;13.0;25.0
Leitwind LTW101 2000;101.0;80-93.5;3.0;11.0;25.0
Leitwind LTW101 2500;101.0;80-93.5;3.0;12.0;25.0
Leitwind LTW101 3000;101.0;93.5-143;3.0;15.0;25.0
Leitwind LTW104 2000;104.1;95.0;3.0;10.0;25.0
Leitwind LTW104 2000;104.1;143.0;3.0;10.0;25.0
Leitwind LTW104 2500;104.1;95.0;3.0;11.0;25.0
Leitwind LTW104 2500;104.1;143.0;3.0;11.0;25.0
MAN Aeroman 11/11;11.6;10.0;3.8;8.5;24.0
Micon M 530;26.0;30.0;4.0;14.5;25.0
Micon M 700-225;29.8;30.0;3.0;15.0;25.0
Micon M 700-225;29.8;36.0;3.0;15.0;25.0
Mitsubishi MWT-250C;28.0;30.5;5.0;12.9;24.0
Mitsubishi MWT-500;41.0;50.0;4.5;12.5;24.0
Multibrid M5000;116.0;90.0;3.5;12.0;25.0
Multibrid M5000;116.0;102.0;3.5;12.0;25.0
NEG Micon NM 43/600;43.0;46.0;2.5;15.5;25.0
NEG Micon NM 44/750;44.0;40.0;3.0;16.0;25.0
NEG Micon NM 44/750;44.0;46.0;3.0;16.0;25.0
NEG Micon NM 44/750;44.0;52.0;3.0;16.0;25.0
NEG Micon NM 44/750;44.0;56.0;3.0;16.0;25.0
NEG Micon NM 48/750;48.2;50.0;4.0;16.0;25.0
NEG Micon NM 48/750;48.2;60.0;4.0;16.0;25.0
NEG Micon NM 48/750;48.2;70.0;4.0;16.0;25.0
NEG Micon NM 52/900;52.2;60.0;3.5;16.0;25.0
NEG Micon NM 52/900;52.2;74.0;3.5;16.0;25.0
NEG Micon NM 54/950;54.0;50.0;3.0;16.0;25.0
NEG Micon NM 54/950;54.0;60.0;3.0;16.0;25.0
NEG Micon NM 60/1000;60.0;70.0;3.0;16.0;20.0
NEG Micon NM 60/1000;60.0;80.0;3.0;16.0;20.0
NEG Micon NM 72C/1500;72.0;64.0;3.0;13.0;20.0
NEG Micon NM 72C/1500;72.0;80.0;3.0;13.0;20.0
NEG Micon NM 72C/1500;72.0;98.0;3.0;13.0;20.0
NEG Micon NM 72/1650;72.0;70.0;4.0;16.0;25.0
NEG Micon NM 72/1650;72.0;85.0;4.0;16.0;25.0
NEG Micon NM 72/1650;72.0;93.0;4.0;16.0;25.0
NEG Micon NM 82/1500;82.0;94-109;3.0;13.0;25.0
NEG Micon NM 82/1650;82.0;59.0;4.0;13.0;20.0
NEG Micon NM 82/1650;82.0;68.5;4.0;13.0;20.0
NEG Micon NM 82/1650;82.0;70.0;4.0;13.0;20.0
NEG Micon NM 82/1650;82.0;78.0;4.0;13.0;20.0
NEG Micon NM 82/1650;82.0;80.0;4.0;13.0;20.0
Nordex N27/150;27.0;30.0;3.0;15.5;25.0
Nordex N27/150;27.0;36.0;3.0;15.5;25.0
Nordex N27/150;27.0;40.0;3.0;15.5;25.0
Nordex N27/150;27.0;50.0;3.0;15.5;25.0
Nordex N27/250;27.0;30.0;3.0;15.5;25.0
Nordex N27/250;27.0;36.0;3.0;15.5;25.0
Nordex N27/250;27.0;41.5;3.0;15.5;25.0
Nordex N27/250;27.0;50.0;3.0;15.5;25.0
Nordex N29;29.7;36.0;3.0;15.0;25.0
Nordex N29;29.7;40.0;3.0;15.0;25.0
Nordex N29;29.7;50.0;3.0;15.0;25.0
Nordex N43;43.0;40.0;2.5;15.0;25.0
Nordex N43;43.0;50.0;2.5;15.0;25.0
Nordex N43;43.0;60.0;2.5;15.0;25.0
Nordex N43;43.0;78.0;2.5;15.0;25.0
Nordex N50;50.0;46.0;2.5;15.0;25.0
Nordex N50;50.0;50.0;2.5;15.0;25.0
Nordex N50;50.0;70.0;2.5;15.0;25.0
Nordex N52;52.0;60.0;3.0;12.5;25.0
Nordex N52;52.0;70.0;3.0;12.5;25.0
Nordex N60;60.0;60.0;2.5;15.0;25.0
Nordex N60;60.0;65.0;2.5;15.0;25.0
Nordex N60;60.0;69.0;2.5;15.0;25.0
Nordex N60;60.0;85.0;2.5;15.0;25.0
Nordex N62;62.0;60.0;2.5;15.0;25.0
Nordex N62;62.0;69.0;2.5;15.0;25.0
Nordex N62;62.0;80.0;2.5;15.0;25.0
Nordex N62;62.0;69.0;2.5;15.0;25.0
Nordex N70;70.0;65.0;3.5;13.0;25.0
Nordex N70;70.0;85.0;3.5;13.0;25.0
Nordex N70;70.0;98.0;3.5;13.0;25.0
Nordex N70;70.0;114.5;3.5;13.0;25.0
Nordex N77;77.0;62.0;3.0;11.1;25.0
Nordex N77;77.0;85.0;3.0;11.1;25.0
Nordex N77;77.0;90.0;3.0;11.1;25.0
Nordex N77;77.0;111.5;3.0;11.1;25.0
Nordex N80 Alpha;80.0;60.0;4.0;15.0;25.0
Nordex N80 Alpha;80.0;80.0;4.0;15.0;25.0
Nordex N80 Alpha;80.0;100.0;4.0;15.0;25.0
Nordex N80 Alpha;80.0;105.0;4.0;15.0;25.0
Nordex N90 Beta;90.0;80.0;3.0;12.0;25.0
Nordex N90 Beta;90.0;100.0;3.0;12.0;25.0
Nordex N90 Beta;90.0;104.0;3.0;12.0;25.0
Nordex N90/2500;90.0;70.0;3.0;13.5;25.0
Nordex N90/2500;90.0;75.0;3.0;13.5;25.0
Nordex N90/2500;90.0;80.0;3.0;13.5;25.0
Nordex N90/2500;90.0;100.0;3.0;13.5;25.0
Nordex N90/2500;90.0;120.0;3.0;13.5;25.0
Nordex N100 Delta;99.8;75.0;3.5;-;25.0
Nordex N100 Delta;99.8;85.0;3.5;-;25.0
Nordex N100 Delta;99.8;100.0;3.5;-;25.0
Nordex N100 Gamma;99.8;75 -100;3.0;12.0;20.0
Nordex N117 Delta;116.8;91.0;3.0;-;25.0
Nordex N117 Delta;116.8;120.0;3.0;-;25.0
Nordex N117 Delta;116.8;141.0;3.0;-;25.0
Nordex N117 Gamma;116.8;91.0;3.0;11.0;20.0
Nordex N117 Gamma;116.8;120.0;3.0;11.0;20.0
Nordex N117 Gamma;116.8;141.0;3.0;11.0;20.0
Nordex N117/3600 Delta;116.8;91.0;3.0;-;25.0
Nordex N117/3600 Delta;116.8;106.0;3.0;-;25.0
Nordex N117/3600 Delta;116.8;141*;3.0;-;25.0
Nordex N131/3000 Delta;131.0;99.0;3.0;-;20.0
Nordex N131/3000 Delta;131.0;114.0;3.0;-;20.0
Nordex N131/3000 Delta;131.0;134.0;3.0;-;20.0
Nordex N131/3300 Delta;131.0;134.0;3.0;-;20.0
Nordex N131/3300 Delta;131.0;164.0;3.0;-;20.0
Nordex N131/3600 Delta;131.0;84.0;3.0;-;20.0
Nordex N131/3600 Delta;131.0;106.0;3.0;-;20.0
Nordex N131/3600 Delta;131.0;112.0;3.0;-;20.0
Nordex N131/3600 Delta;131.0;134.0;3.0;-;20.0
Nordtank NTK 150;24.6;32.5;4.0;13.5;25.0
Nordtank NTK 200;28.0;30.0;4.0;12.5;25.0
Nordtank NTK 400;35.0;35.0;4.5;18.0;25.0
NPS Northern Power NPS 60-24;24.4;23.0;3.0;11.0;25.0
NPS Northern Power NPS 60-24;24.4;29.0;3.0;11.0;25.0
NPS Northern Power NPS 60-24;24.4;37.0;3.0;11.0;25.0
NPS Northern Power NPS 100C-24;24.4;22.0;3.0;12.0;25.0
NPS Northern Power NPS 100C-24;24.4;29.0;3.0;12.0;25.0
NPS Northern Power NPS 100C-24;24.4;37.0;3.0;12.0;25.0
Norwin 24 STALL 150;24.0;30.0;4.0;14.0;25.0
Norwin 29 STALL 225;29.1;30.0;4.0;14.0;25.0
Norwin 29 STALL 225;29.1;40.0;4.0;14.0;25.0
Norwin 47 ASR 500;47.0;40- 65;4.0;13.0;25.0
PowerWind PW56;56.0;59 or 71;3.0;12.5;25.0
REpower 48/600;48.4;50.0;3.0;13.5;20.0
REpower 48/600;48.4;65.0;3.0;13.5;20.0
REpower 48/600;48.4;75.0;3.0;13.5;20.0
Ropatec 3kW;3.3;10.9;4.0;13.0;17.0
Ropatec 3kW;3.3;site specific;4.0;13.0;17.0
S&G Engineering SG2500.131 DD;131.0;120.0;3.0;10.0;20.0
S&G Engineering SG2700.100 DD;100.0;100.0;3.0;11.3;25.0
S&G Engineering SG2700.116 DD;116.0;100.0;3.0;10.5;24.0
Samsung 25s;90.0;80.0;3.5;12.0;25.0
Samsung 25s;90.0;site specific;3.5;12.0;25.0
SANY SE8220;82.5;70.0;3.5;12.0;25.0
SANY SE8220;82.5;80.0;3.5;12.0;25.0
SANY SE8720;87.0;70.0;3.5;11.5;25.0
SANY SE8720;87.0;80.0;3.5;11.5;25.0
SANY SE9315;93.0;70.0;3.0;10.5;25.0
SANY SE9315;93.0;80.0;3.0;10.5;25.0
SANY SE9320;93.0;70.0;3.0;11.0;25.0
SANY SE9320;93.0;80.0;3.0;11.0;25.0
SANY SE10015;102.0;70.0;3.0;10.0;22.0
SANY SE10015;102.0;80.0;3.0;10.0;22.0
SANY SE10020;102.0;80.0;2.5;10.0;25.0
SANY SE10020;102.0;85.0;2.5;10.0;25.0
SANY SE10020;102.0;90.0;2.5;10.0;25.0
SANY SE11520;115.0;80.0;2.5;9.5;22.0
SANY SE11520;115.0;85.0;2.5;9.5;22.0
SANY SE11520;115.0;90.0;2.5;9.5;22.0
SANY SE11525;115.0;90.0;2.5;10.0;25.0
SANY SE11525;115.0;100.0;2.5;10.0;25.0
SANY SE11525;115.0;110.0;2.5;10.0;25.0
SANY SE11525;115.0;120.0;2.5;10.0;25.0
SANY SE12120;121.0;90.0;2.5;8.5;22.0
SANY SE12125;121.0;90.0;3.0;9.5;25.0
SANY SE12125;121.0;100.0;3.0;9.5;25.0
SANY SE12125;121.0;110.0;3.0;9.5;25.0
SANY SE12125;121.0;120.0;3.0;9.5;25.0
SANY SE12130;121.0;100.0;3.0;10.0;25.0
SANY SE12130;121.0;110.0;3.0;10.0;25.0
SANY SE12130;121.0;120.0;3.0;10.0;25.0
SANY SE12130;121.0;138.0;3.0;10.0;25.0
SANY SE12520;125.0;90.0;2.5;8.5;22.0
SANY SE12525;125.0;80.0;2.5;9.0;28.0
SANY SE12525;125.0;85.0;2.5;9.0;28.0
SANY SE12525;125.0;90.0;2.5;9.0;28.0
SANY SE12725;127.0;90.0;3.0;9.0;25.0
SANY SE12725;127.0;100.0;3.0;9.0;25.0
SANY SE12725;127.0;110.0;3.0;9.0;25.0
SANY SE12725;127.0;120.0;3.0;9.0;25.0
SANY SE12730;127.0;100.0;3.0;9.5;25.0
SANY SE12730;127.0;110.0;3.0;9.5;25.0
SANY SE12730;127.0;120.0;3.0;9.5;25.0
SANY SE12730;127.0;138.0;3.0;9.5;25.0
SANY SE13122;129.5;85.0;2.5;-;22.0
SANY SE13122;129.5;90.0;2.5;-;22.0
SANY SE13122;129.5;100.0;2.5;-;22.0
SANY SE13122;129.5;120.0;2.5;-;22.0
SANY SE13122;129.5;130.0;2.5;-;22.0
SANY SE13122;129.5;140.0;2.5;-;22.0
SANY SE13125;131.0;90.0;3.0;9.1;22.0
SANY SE13125;131.0;100.0;3.0;9.1;22.0
SANY SE13125;131.0;120.0;3.0;9.1;22.0
SANY SE13625;136.0;90.0;3.0;8.6;22.0
SANY SE13625;136.0;100.0;3.0;8.6;22.0
SANY SE13625;136.0;120.0;3.0;8.6;22.0
SANY SE13625;136.0;130.0;3.0;8.6;22.0
SANY SE13625;136.0;140.0;3.0;8.6;22.0
SANY SE14525;145.0;100.0;3.0;8.2;22.0
SANY SE14525;145.0;125.0;3.0;8.2;22.0
SANY SE14525;145.0;145.0;3.0;8.2;22.0
Senvion 3.0M122;122.0;136.0;3.0;11.5;22.0
Senvion 3.0M122;122.0;139.0;3.0;11.5;22.0
Senvion 3.2M114;114.0;93.0;3.0;12.0;22.0
Senvion 3.2M114;114.0;119.0;3.0;12.0;22.0
Senvion 3.2M114;114.0;123.0;3.0;12.0;22.0
Senvion 3.2M114;114.0;143.0;3.0;12.0;22.0
Senvion 3.2M122;122.0;139.0;3.0;12.0;20.0
Senvion 3.4M114;114.0;93.0;3.0;12.0;22.0
Senvion 3.4M114;114.0;119.0;3.0;12.0;22.0
Senvion 3.4M114;114.0;123.0;3.0;12.0;22.0
Senvion 3.4M114;114.0;143.0;3.0;12.0;22.0
Senvion 3.4M140;140.0;110.0;3.0;11.0;22.0
Senvion 3.4M140;140.0;130.0;3.0;11.0;22.0
Senvion MM100;100.0;76.5;3.0;11.0;22.0
Senvion MM100;100.0;80.0;3.0;11.0;22.0
Senvion MM100;100.0;100.0;3.0;11.0;22.0
Siemens SWT-2.3-113;113.0;99.5;3.0;12.5;25.0
Siemens SWT-3.15-142;142.0;109.0;4.0;11.0;22.5
Siemens SWT-3.15-142;142.0;129.0;4.0;11.0;22.5
Siemens SWT-3.15-142;142.0;165.0;4.0;11.0;22.5
Siemens SWT-3.2-113;113.0;79.5;3.0;12.5;25.0
Siemens SWT-3.2-113;113.0;92.5;3.0;12.5;25.0
Siemens SWT-3.2-113;113.0;99.5;3.0;12.5;25.0
Siemens SWT-3.2-113;113.0;122.0;3.0;12.5;25.0
Siemens SWT-3.2-113;113.0;142.0;3.0;12.5;25.0
Siemens SWT-3.3-130;130.0;85.0;4.0;12.5;30.0
Siemens SWT-3.3-130;130.0;110.0;4.0;12.5;30.0
Siemens SWT-3.3-130;130.0;120.0;4.0;12.5;30.0
Siemens SWT-3.3-130;130.0;135.0;4.0;12.5;30.0
Siemens SWT-3.3-130 LN;130.0;85.0;4.0;11.4;25.0
Siemens SWT-3.3-130 LN;130.0;135.0;4.0;11.4;25.0
Siemens SWT-3.3-130 LN;130.0;165.0;4.0;11.4;25.0
Siemens SWT-3.6-120 Onshore;120.0;90.0;3.0;12.5;25.0
Siemens SWT-3.6-130;130.0;85.0;4.0;12.2;25.0
Siemens SWT-3.6-130;130.0;115.0;4.0;12.2;25.0
Siemens SWT-3.6-130;130.0;135.0;4.0;12.2;25.0
Siemens SWT-3.6-130;130.0;165.0;4.0;12.2;25.0
Siva 250/50;30.0;30.0;4.0;14.0;25.0
Siva 250/50;30.0;48.4;4.0;14.0;25.0
Südwind S-70;70.0;65.0;3.0;11.6;25.0
Südwind S-70;70.0;85.0;3.0;11.6;25.0
Südwind S-70;70.0;100.0;3.0;11.6;25.0
Südwind S-70;70.0;114.5;3.0;11.6;25.0
Südwind S-70 (special nacelle);70.0;65.0;3.0;13.0;25.0
Südwind S-70 (special nacelle);70.0;85.0;3.0;13.0;25.0
Südwind S-70 (special nacelle);70.0;98.0;3.0;13.0;25.0
Südwind S-70 (special nacelle);70.0;114.4;3.0;13.0;25.0
Südwind S-77;77.0;62.0;3.0;11.1;25.0
Südwind S-77;77.0;85.0;3.0;11.1;25.0
Südwind S-77;77.0;90.0;3.0;11.1;25.0
Südwind S-77;77.0;100.0;3.0;11.1;25.0
Südwind S-77;77.0;114.5;3.0;11.1;25.0
superwind SW 350-II;1.2;3.0;3.5;12.5;35.0
superwind SW 350-II;1.2;site specific;3.5;12.5;35.0
Suzlon S 33-350;33.4;50.0;3.5;14.0;25.0
Suzlon S 33-350;33.4;60.0;3.5;14.0;25.0
Suzlon S 33-350;33.4;70.0;3.5;14.0;25.0
Suzlon S 60-1000;60.0;65.0;3.0;13.0;25.0
Suzlon S 62-1000;62.0;65.0;3.0;13.0;25.0
Suzlon S 64-950;64.0;65.0;3.0;11.0;25.0
Suzlon S 64-1000;64.0;65.0;3.0;11.0;25.0
Suzlon S 64-1250;64.0;74.5;4.0;12.0;25.0
Suzlon S 66-1250;66.0;74.5;4.0;12.0;20.0
Suzlon S 88-2100;88.0;80.0;4.0;14.0;25.0
Tacke TW 45;12.5;24.0;3.0;12.5;20.0
Tacke TW 80;21.0;40.0;3.0;11.5;25.0
Tacke TW 500;36.0;40.0;3.0;13.0;25.0
Tacke TW 500;36.0;43.0;3.0;13.0;25.0
Tacke TW 600;43.0;50.0;3.0;14.5;25.0
Tellus T-1780;17.0;23.4;3.0;14.0;28.0
Tellus T-1780;17.0;40.8;3.0;14.0;28.0
Wind Turbine Company WTC 100;26.0;site specific to 50;2.5;11.0;20.0
TUGE 10 kW;10.2;18.0;3.0;11.0;25.0
TUGE 10 kW;10.2;22.0;3.0;11.0;25.0
TURBOWINDS T400-34;34.0;30.0;3.0;14.0;25.0
TURBOWINDS T400-34;34.0;34.0;3.0;14.0;25.0
TURBOWINDS T400-34;34.0;50.0;3.0;14.0;25.0
TURBOWINDS T600-48;48.0;50.0;3.0;12.5;25.0
TURBOWINDS T600-48;48.0;60.0;3.0;12.5;25.0
Unison U54;54.0;60.0;3.0;11.5;25.0
USW U.S. Windpower 56-100;17.0;18.0;5.0;13.0;20.0
Vensys 77/1500;76.8;61.5;3.0;13.0;22.0
Vensys 77/1500;76.8;85.0;3.0;13.0;22.0
Vensys 77/1500;76.8;100.0;3.0;13.0;22.0
Vensys 82/1500;82.3;85.0;3.0;12.5;22.0
Vensys 82/1500;82.3;100.0;3.0;12.5;22.0
Vensys 100/2500;99.8;100.0;3.0;11.0;25.0
Vensys 109/2500;108.9;95.0;3.0;12.5;25.0
Vensys 109/2500;108.9;145.0;3.0;12.5;25.0
Vensys 112/2500;112.5;93.5;3.0;11.5;25.0
Vensys 112/2500;112.5;143.5;3.0;11.5;25.0
Vensys 120/3000;120.0;90.0;3.0;11.5;22.0
Vensys 120/3000;120.0;98.3;3.0;11.5;22.0
Vensys 120/3000;120.0;140.0;3.0;11.5;22.0
Venturicon 3.ZERO;1.3;site specific;3.0;18.0;18.0
Vergnet GEV HP 1000/62;62.0;70.0;3.0;15.0;25.0
Vergnet GEV MP C 200/30;30.0;55.0;3.5;12.0;25.0
Vergnet GEV MP C 200/30;30.0;60.0;3.5;12.0;25.0
Vergnet GEV MP C 200/32;32.0;55.0;3.5;-;25.0
Vergnet GEV MP C 200/32;32.0;60.0;3.5;-;25.0
Vergnet GEV MP R 275/32;32.0;32.0;3.5;12.0;25.0
Vergnet GEV MP C 275/30;30.0;55.0;3.5;12.0;25.0
Vergnet GEV MP C 275/30;30.0;60.0;3.5;12.0;25.0
Vestas V19-90;18.8;23.2;3.5;18.0;23.0
Vestas V20;20.0;24.0;4.5;13.0;25.0
Vestas V27;27.0;110 ft;3.0;-;25.0
Vestas V27_2;27.0;30.0;3.5;14.0;25.0
Vestas V29;29.0;31.5;3.5;14.0;25.0
Vestas V29;29.0;51.5;3.5;14.0;25.0
Vestas V39;39.0;40.5;4.0;15.0;25.0
Vestas V39;39.0;53.0;4.0;15.0;25.0
Vestas V42;42.0;40.5;4.0;16.0;25.0
Vestas V42;42.0;53.0;4.0;16.0;25.0
Vestas V44;44.0;40.5;4.0;16.0;20.0
Vestas V44;44.0;53.0;4.0;16.0;20.0
Vestas V44;44.0;63.0;4.0;16.0;20.0
Vestas V47;47.0;40.0;4.0;15.0;25.0
Vestas V47;47.0;45.0;4.0;15.0;25.0
Vestas V47;47.0;50.0;4.0;15.0;25.0
Vestas V47;47.0;55.0;4.0;15.0;25.0
Vestas V52;52.0;36.5;4.0;14.0;25.0
Vestas V52;52.0;40.0;4.0;14.0;25.0
Vestas V52;52.0;44.0;4.0;14.0;25.0
Vestas V52;52.0;49.0;4.0;14.0;25.0
Vestas V52;52.0;55.0;4.0;14.0;25.0
Vestas V52;52.0;60.0;4.0;14.0;25.0
Vestas V52;52.0;65.0;4.0;14.0;25.0
Vestas V52;52.0;70.0;4.0;14.0;25.0
Vestas V52;52.0;74.0;4.0;14.0;25.0
Vestas V52;52.0;86.0;4.0;14.0;25.0
Vestas V63;63.6;60.0;4.0;16.0;25.0
Vestas V66-1.65;66.0;60.0;4.0;15.0;25.0
Vestas V66-1.65;66.0;78.0;4.0;15.0;25.0
Vestas V66-1.75;66.0;60.0;4.0;16.0;25.0
Vestas V66-1.75;66.0;67.0;4.0;16.0;25.0
Vestas V66-1.75;66.0;78.0;4.0;16.0;25.0
Vestas V80-1.8;80.0;60.0;4.0;15.0;25.0
Vestas V80-1.8;80.0;67.0;4.0;15.0;25.0
Vestas V80-1.8;80.0;78.0;4.0;15.0;25.0
Vestas V80-1.8;80.0;100.0;4.0;15.0;25.0
Vestas V90;90.0;80.0;4.0;13.0;25.0
Vestas V90;90.0;95.0;4.0;13.0;25.0
Vestas V90;90.0;105.0;4.0;13.0;25.0
Vestas V90 Gridstreamer;90.0;80 - 125;4.0;13.5;25.0
Vestas V100-1.8;100.0;80.0;3.0;12.0;20.0
Vestas V100-1.8;100.0;95.0;3.0;12.0;20.0
Vestas V100-1.8;100.0;120.0;3.0;12.0;20.0
Vestas V112-3.0 Offshore;112.0;-;3.0;12.0;25.0
Vestas V112-3.075 Onshore;112.0;84.0;3.0;12.0;25.0
Vestas V112-3.075 Onshore;112.0;94.0;3.0;12.0;25.0
Vestas V112-3.075 Onshore;112.0;119.0;3.0;12.0;25.0
Vestas V112-3.3;112.0;84.0;3.0;13.0;25.0
Vestas V112-3.3;112.0;94.0;3.0;13.0;25.0
Vestas V112-3.3;112.0;119.0;3.0;13.0;25.0
Vestas V112-3.3;112.0;140.0;3.0;13.0;25.0
Vestas V112-3.45;112.0;84.0;3.0;13.0;25.0
Vestas V112-3.45;112.0;94.0;3.0;13.0;25.0
Vestas V112-3.45;112.0;119.0;3.0;13.0;25.0
Vestas V112-3.45;112.0;140.0;3.0;13.0;25.0
Vestas V117-3.3;117.0;91.5;3.0;13.0;25.0
Vestas V117-3.3;117.0;116.5;3.0;13.0;25.0
Vestas V117-3.45;117.0;91.5;3.0;12.5;25.0
Vestas V117-3.45;117.0;116.5;3.0;12.5;25.0
Vestas V117-3.45;117.0;141.5;3.0;12.5;25.0
Vestas V126-3.0;126.0;119.0;3.0;12.0;22.5
Vestas V126-3.3;126.0;117.0;3.0;12.0;22.5
Vestas V126-3.3;126.0;137.0;3.0;12.0;22.5
Vestas V126-3.45;126.0;117.0;3.0;12.0;22.5
Vestas V126-3.45;126.0;137.0;3.0;12.0;22.5
Vestas V126-3.45;126.0;147.0;3.0;12.0;22.5
Vestas V126-3.45;126.0;149.0;3.0;12.0;22.5
Vestas V136-3.45;136.0;82.0;3.0;-;22.5
Vestas V136-3.45;136.0;112.0;3.0;-;22.5
Vestas V136-3.45;136.0;132.0;3.0;-;22.5
Vestas V136-3.45;136.0;149.0;3.0;-;22.5
Vestas V164-8.0;164.0;-;4.0;13.0;25.0
Vind-Syssel VS130/22;22.2;26.0;4.0;12.0;23.0
W2E Wind to Energy W2E-93/2.0;93.2;70.0;3.0;12.0;25.0
W2E Wind to Energy W2E-93/2.0;93.2;85.0;3.0;12.0;25.0
W2E Wind to Energy W2E-93/2.0;93.2;100.0;3.0;12.0;25.0
W2E Wind to Energy W2E-93/2.0;93.2;117*;3.0;12.0;25.0
W2E Wind to Energy W2E-93/2.0;93.2;141*;3.0;12.0;25.0
W2E Wind to Energy W2E-100/2.0;100.0;70.0;3.5;11.5;25.0
W2E Wind to Energy W2E-100/2.0;100.0;85.0;3.5;11.5;25.0
W2E Wind to Energy W2E-100/2.0;100.0;100.0;3.5;11.5;25.0
W2E Wind to Energy W2E-100/2.0;100.0;117*;3.5;11.5;25.0
W2E Wind to Energy W2E-100/2.0;100.0;141*;3.5;11.5;25.0
W2E Wind to Energy W2E-100/2.5;100.0;85.0;3.5;12.5;25.0
W2E Wind to Energy W2E-100/2.5;100.0;100.0;3.5;12.5;25.0
W2E Wind to Energy W2E-100/2.5;100.0;105*;3.5;12.5;25.0
W2E Wind to Energy W2E-100/2.5;100.0;117*;3.5;12.5;25.0
W2E Wind to Energy W2E-100/2.5;100.0;141*;3.5;12.5;25.0
W2E Wind to Energy W2E-100/2.5;100.0;160*;3.5;12.5;25.0
W2E Wind to Energy W2E-110/2.5;110.0;85.0;3.5;12.5;25.0
W2E Wind to Energy W2E-110/2.5;110.0;100.0;3.5;12.5;25.0
W2E Wind to Energy W2E-120/3fc;120.0;90.0;3.0;13.0;25.0
W2E Wind to Energy W2E-120/3fc;120.0;100.0;3.0;13.0;25.0
W2E Wind to Energy W2E-120/3fc;120.0;140*;3.0;13.0;25.0
W2E Wind to Energy W2E-120/3.5fc;120.0;90.0;3.0;13.0;25.0
W2E Wind to Energy W2E-120/3.5fc;120.0;100.0;3.0;13.0;25.0
W2E Wind to Energy W2E-120/3.5fc;120.0;140.0;3.0;13.0;25.0
W2E Wind to Energy W2E-120/3.2fc;120.0;90.0;3.0;13.0;25.0
W2E Wind to Energy W2E-120/3.2fc;120.0;100.0;3.0;13.0;25.0
W2E Wind to Energy W2E-120/3.2fc;120.0;140.0;3.0;13.0;25.0
W2E Wind to Energy W2E-138/3.0fc;138.0;100.0;3.0;12.0;20.0
W2E Wind to Energy W2E-138/3.0fc;138.0;140.0;3.0;12.0;20.0
W2E Wind to Energy W2E-145/3.0fc;145.0;90.0;3.0;10.5;22.0
W2E Wind to Energy W2E-145/3.0fc;145.0;100.0;3.0;10.5;22.0
W2E Wind to Energy W2E-151/4.5;151.0;100.0;3.0;12.0;20.0
W2E Wind to Energy W2E-151/4.5;151.0;130.0;3.0;12.0;20.0
W2E Wind to Energy W2E-151/4.5;151.0;140.0;3.0;12.0;20.0
W2E Wind to Energy W2E-151/4.8;151.0;120.0;3.0;13.0;20.0
W2E Wind to Energy W2E-151/4.8fc;151.0;120.0;3.0;13.5;20.0
W2E Wind to Energy W2E-155/4.5fc;155.0;120.0;3.0;13.0;22.0
W2E Wind to Energy W2E-165/5.2;165.0;up to 140;3.0;12.0;20.0
W2E Wind to Energy W2E-171/8.0;171.0;up to 160;3.0;14.5;25.0
W2E Wind to Energy W2E-172/5.5;172.0;up to 160;3.0;12.0;25.0
