wind_speed;AN Bonus 1000/54;AN Bonus 1300/62;DWT Danish Wind Tech Windane 40;DeWind D4 48/600;ecotècnia ECO 48/750;Enercon E-18;Enercon E-30;Enercon E-33 / 300;Enercon E-40/5.40;Enercon E-40/6.44;Enercon E-44;Enercon E-48;Enercon E-53;Enercon E-58/10.58;Enercon E-66/15.66;Enercon E-66/18.70;Enercon E-70 E4 2.300;Enercon E-82 E2 2.300;Enercon E-82 E2 2.000;Enercon E-82 E4 2.350;Enercon E-82 E4 3.000;Enercon E-92;Enercon E-101;Enercon E-101 E2 3.050;Enercon E-101 E2 3.500;Enercon E-112/45.114;Enercon E-115 2.500;Enercon E-115 EP3 3.000 prototype;Enercon E-115 3.000;Enercon E-126 EP4;Enercon E-126 7.58 EP8;Enercon E-141 EP4;eno energy eno 100;eno energy eno 114 3.5;eno energy eno 126 3.5;Fuhrländer FL MD 77;Fuhrländer FL 2500/100;FWT 93/2000;FWT 100/2000;FWT 100/2500;FWT 104/2500;FWT 120/3000;Gamesa G97;Gamesa G114-2.0MW;Gamesa G114-2.5MW;Gamesa G126-2.5MW;Gamesa G128-4.5MW;Gamesa G128-5.0MW;Gamesa G132-3.3MW;Gamesa G132-5.0MW;GE Vernova GE 1.6 - 100;GE Vernova GE 2.5 - 100;GE Vernova GE 2.5-103;GE Vernova GE 2.5 - 120;GE Vernova GE 2.75 - 103;GE Vernova GE 2.75 - 120;GE Vernova GE 3.2-130;GE Vernova GE 3.4-137;Krogmann 15-50;Micon M 530;NEG Micon NM 48/750;NEG Micon NM 52/900;Nordex N29;Nordex N43;Nordex N50;Nordex N60;Nordex N90/2500;Nordex N100 Delta;Nordex N100 Gamma;Nordex N117 Delta;Nordex N117 Gamma;Nordex N117/3600 Delta;Nordex N131/3000 Delta;Nordex N131/3300 Delta;Nordex N131/3600 Delta;PowerWind PW56;REpower 48/600;Senvion 3.0M122;Senvion 3.2M122;Senvion 3.4M114;Senvion 3.4M140;Senvion MM100;Siemens SWT-2.3-113;Siemens SWT-3.15-142;Siemens SWT-3.2-113;Siemens SWT-3.3-130;Siemens SWT-3.3-130 LN;Siemens SWT-3.6-120 Onshore;Siemens SWT-3.6-130;Südwind S-70;Südwind S-70 (special nacelle);Südwind S-77;Tacke TW 80;Vestas V52;Vestas V90;Vestas V90 Gridstreamer;Vestas V100-1.8;Vestas V112-3.0 Offshore;Vestas V112-3.075 Onshore;Vestas V112-3.3;Vestas V112-3.45;Vestas V117-3.3;Vestas V117-3.45;Vestas V126-3.0;Vestas V126-3.3;Vestas V126-3.45;Vestas V136-3.45;W2E Wind to Energy W2E-93/2.0;W2E Wind to Energy W2E-100/2.0;W2E Wind to Energy W2E-100/2.5;W2E Wind to Energy W2E-120/3fc;Wincon W755/48;Wind World (India) ww-53;WinWinD WWD-1 D56;WinWinD WWD-1 D64
18.5;0.11;;;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;0.081;0.08;;0.09;0.23;0.06;0.06;;;0.1;0.11;;;0.11;0.0;0.1;0.11;0.08;0.07;0.06;0.087;0.06;0.06;0.069;;;;;;;;;;;;;;;0.1;;;0.07;;;0.08;;0.08;0.08;0.09;0.09;0.08;0.083;0.06;0.07;0.071;0.06;;;;;0.11;;;
19.0;0.11;;;0.079;0.11;0.075;0.101;0.083;0.09;;0.14;0.11;0.09;;;;0.14;0.11;0.09;0.11;0.136;0.08;0.091;0.1;0.104;0.11;0.06;0.072;0.07;0.08;0.14;0.06;0.07;0.08;0.07;0.08;0.08;0.07;0.06;0.08;0.07;0.06;0.06;0.05;0.06;0.043;0.08;0.09;0.057;0.09;0.05;0.077;0.07;0.05;0.08;0.23;0.06;0.055;;0.11;0.09;0.1;;;0.1;0.0;0.09;0.1;0.08;0.07;0.05;0.08;0.05;0.06;0.064;0.09;0.08;0.06;0.07;0.08;0.07;0.06;0.06;0.047;0.08;0.06;0.059;0.08;0.065;0.094;0.093;;0.06;;;0.08;0.06;0.07;0.07;0.08;0.083;0.07;0.076;0.06;0.06;0.066;0.06;0.072;0.063;0.077;0.062;;;0.098;0.075
19.5;0.1;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;0.07;0.07;;0.07;0.23;0.05;0.051;;;0.08;0.1;;;0.09;0.0;0.09;0.09;0.07;0.06;0.05;0.074;0.05;0.05;0.059;;;;;;;;;;;;;;;;;;0.06;;;0.07;;0.07;0.07;0.07;0.077;0.07;0.071;0.05;0.06;0.061;0.05;;;;;;;;
20.0;0.09;;;;0.09;0.064;0.087;0.072;0.08;;0.12;0.09;0.08;0.077;0.089;0.095;0.12;0.09;0.08;0.09;0.117;0.07;0.078;0.09;0.089;0.09;0.05;0.062;0.06;0.07;0.12;0.05;0.06;0.07;0.06;0.07;0.07;0.06;0.05;0.07;0.06;0.05;0.06;0.04;0.05;0.037;0.07;0.08;0.047;0.07;0.04;0.065;0.06;0.05;0.07;0.23;0.05;0.047;;0.09;0.08;0.09;;;0.08;0.0;0.08;0.09;0.07;0.06;0.05;0.069;0.05;0.05;0.055;0.08;;0.05;0.06;0.07;0.06;0.05;0.05;0.041;0.07;0.05;0.051;0.07;0.055;;0.08;;0.05;;;0.07;0.05;0.06;0.06;0.07;0.071;0.06;0.065;0.05;0.05;0.056;0.05;0.061;0.054;0.065;0.053;;;0.084;0.064
20.5;0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;0.061;0.06;;0.06;0.23;0.05;0.044;;;0.07;0.08;;;0.07;0.0;0.07;0.08;0.06;0.05;;0.064;;;;;;;;;;;;;;;;;;;;;;;;0.06;;0.06;0.06;0.06;0.066;0.06;0.061;0.05;0.05;0.052;0.05;;;;;;;;
21.0;0.08;;;;;0.055;0.075;0.062;0.07;;0.11;0.08;0.06;0.067;0.077;0.082;0.1;0.08;0.07;0.08;0.101;0.06;0.067;0.08;0.077;0.08;0.04;0.054;0.05;0.06;0.11;0.05;0.05;0.06;0.05;0.06;0.06;0.05;0.05;0.06;0.05;0.05;0.05;0.04;0.04;0.032;0.06;0.06;0.039;0.06;0.04;0.057;0.05;;0.06;0.23;0.04;0.041;;0.08;;0.08;;;0.07;0.0;0.07;0.07;0.06;0.05;;0.059;;;;0.06;;0.05;0.05;0.06;0.06;0.05;0.04;0.035;0.06;0.04;0.044;0.06;0.048;;0.069;;;;;0.06;;0.06;0.06;0.06;0.062;0.05;0.057;0.04;0.05;0.049;0.04;0.053;0.046;0.056;0.046;;;0.072;
1.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0
2.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;;0.0;0.0;0.19;0.0;0.0;0.0;0.1;0.12;0.12;0.12;0.0;0.11;0.076;0.08;0.076;0.0;0.06;0.058;0.06;0.0;0.0;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;0.005;0.0;0.0
3.12;;0.196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.63;;0.418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.06;;0.421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.52;;0.437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.01;;0.436;;;;;;;;;;;;0.372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.47;;0.427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.03;;0.424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.51;;0.439;;;;;;;;;;;;;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.01;;0.451;;;;;;;;;;;;0.418;0.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.45;;0.464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.98;;0.464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8.49;;0.446;;;;;;;;;;;;;0.419;0.435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9.51;;0.432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9.98;;0.411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.48;;0.402;;;;;;;;;;;;;0.414;0.418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.51;;0.363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.95;;0.342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.48;;0.318;;;;;;;;;;;;;;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.02;;0.292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.46;;0.27;;;;;;;;;;;;0.253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.96;;0.246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.99;;0.204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.44;;0.188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.08;;0.168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.57;;0.154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.02;;0.142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.48;;0.131;;;;;;;;;;;;;0.138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.94;;0.122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.68;;0.109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.85;;0.105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.59;;0.094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.08;;0.088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.41;;0.083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.77;;0.079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.0;;;;;;0.048;0.065;0.054;0.06;;0.09;0.07;0.06;0.058;0.067;0.072;0.09;0.07;0.06;0.07;0.088;0.05;0.058;0.07;0.067;0.07;0.04;0.047;0.04;0.05;0.09;0.04;0.04;0.05;0.04;0.05;0.05;0.05;0.04;0.05;0.05;0.04;0.04;0.03;0.04;0.026;0.05;0.05;0.032;0.05;0.03;;0.05;;0.05;0.23;0.04;0.036;;0.06;;0.06;;;0.06;0.0;0.06;0.07;0.05;0.04;;0.052;;;;0.06;;0.04;0.04;0.05;0.05;0.04;0.04;0.03;0.05;0.04;0.038;0.05;0.042;;0.06;;;;;0.05;;0.05;0.05;0.05;0.054;0.05;0.049;0.04;0.04;0.042;0.04;0.046;0.04;0.049;0.04;;;0.063;
23.0;;;;;;0.042;0.057;0.047;0.05;;0.08;0.06;0.05;0.051;0.059;0.063;0.08;0.06;0.05;0.06;0.077;0.05;0.051;0.06;0.059;0.06;0.03;0.041;0.04;0.04;0.08;0.04;0.04;0.05;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.02;0.03;0.021;0.04;0.04;0.026;0.04;0.03;;0.04;;0.05;0.23;0.03;0.031;;0.06;;;;;0.0;0.0;0.05;0.06;0.04;0.04;;0.045;;;;0.05;;;;;;;0.03;0.027;;0.03;0.033;0.04;0.036;;0.052;;;;;0.04;;0.04;0.04;0.05;0.047;0.04;0.043;;;;;0.04;0.035;0.043;0.035;;;0.055;
24.0;;;;;;0.037;0.05;0.041;0.05;;0.07;0.05;0.04;0.045;0.052;0.055;0.07;0.05;0.05;0.05;0.068;0.04;0.045;0.05;0.052;0.05;0.03;0.036;0.03;0.04;0.07;0.03;0.03;0.04;0.03;0.04;0.04;0.04;0.03;0.04;0.04;0.03;0.03;0.02;0.02;0.016;0.03;0.04;0.022;0.04;0.02;;0.04;;0.04;0.23;0.03;0.027;;0.05;;;;;0.0;0.0;0.05;0.05;0.04;0.03;;0.04;;;;0.04;;;;;;;0.03;;;0.03;0.029;0.04;0.032;;0.046;;;;;0.04;;0.04;0.04;0.04;0.041;0.04;0.038;;;;;0.035;0.031;0.038;0.031;;;0.048;
25.0;;;;;;0.033;0.044;0.037;0.04;;0.06;0.05;0.04;0.04;0.046;0.049;0.06;0.05;0.04;0.05;0.06;0.04;0.04;0.05;0.046;0.05;0.03;0.032;0.03;0.04;0.06;0.03;0.03;0.04;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.02;0.01;0.02;0.013;0.03;0.03;0.018;0.03;0.02;;0.03;;0.04;0.23;0.03;0.024;;0.04;;;;;0.0;0.0;0.04;0.04;0.03;0.03;;0.035;;;;0.04;;;;;;;0.02;;;0.03;0.026;0.03;0.028;;0.041;;;;;0.03;;0.03;0.03;0.04;0.037;0.03;0.034;;;;;0.031;0.027;0.033;0.027;;;0.042;
2.5;;;;;;;;;0.1;;;;;;0.0;0.104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.133;;
1.5;;;;;;;;;;;;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;
2.55;;;;;;;;;;;;;;0.022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.52;;;;;;;;;;;;;;0.197;0.129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.97;;;;;;;;;;;;;;0.253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.49;;;;;;;;;;;;;;0.388;0.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.98;;;;;;;;;;;;;;0.405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.48;;;;;;;;;;;;;;0.425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8.02;;;;;;;;;;;;;;0.439;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8.51;;;;;;;;;;;;;;0.435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9.02;;;;;;;;;;;;;;0.435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9.47;;;;;;;;;;;;;;0.428;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.01;;;;;;;;;;;;;;0.419;;0.419;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.53;;;;;;;;;;;;;;0.421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.96;;;;;;;;;;;;;;0.401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.47;;;;;;;;;;;;;;0.377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.99;;;;;;;;;;;;;;0.341;0.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.46;;;;;;;;;;;;;;0.318;0.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.99;;;;;;;;;;;;;;0.282;0.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.97;;;;;;;;;;;;;;0.227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.41;;;;;;;;;;;;;;0.207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.95;;;;;;;;;;;;;;0.185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.49;;;;;;;;;;;;;;0.166;;0.213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.88;;;;;;;;;;;;;;0.154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.49;;;;;;;;;;;;;;0.138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.95;;;;;;;;;;;;;;0.127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.45;;;;;;;;;;;;;;0.116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.98;;;;;;;;;;;;;;0.106;0.126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.7;;;;;;;;;;;;;;0.094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.01;;;;;;;;;;;;;;;0.223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4.51;;;;;;;;;;;;;;;0.279;0.375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.02;;;;;;;;;;;;;;;0.337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.52;;;;;;;;;;;;;;;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.49;;;;;;;;;;;;;;;0.417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.99;;;;;;;;;;;;;;;0.416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9.01;;;;;;;;;;;;;;;0.426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9.99;;;;;;;;;;;;;;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
